escenario,matriz,panel,fila,columna,valor_reejecutado,valor_original_png,dif_abs,coincide
sin_restriccion,P,1,Local Firm,National Bank,-0.192274,-0.19,0.002274,True
sin_restriccion,P,1,Local Firm,Local Bank,-0.140227,-0.14,0.000227,True
sin_restriccion,P,1,Local Firm,Local Firm,0.0,0.0,0.0,True
sin_restriccion,P,2,National Bank,National Bank,0.0,0.0,0.0,True
sin_restriccion,P,2,National Bank,Local Bank,-0.020249,-0.02,0.000249,True
sin_restriccion,P,2,National Bank,Local Firm,0.277952,0.28,0.002048,True
sin_restriccion,P,2,Local Bank,National Bank,0.020249,0.02,0.000249,True
sin_restriccion,P,2,Local Bank,Local Bank,0.0,0.0,0.0,True
sin_restriccion,P,2,Local Bank,Local Firm,0.198977,0.2,0.001023,True
sin_restriccion,P,2,Local Firm,National Bank,-0.277952,-0.28,0.002048,True
sin_restriccion,P,2,Local Firm,Local Bank,-0.198977,-0.2,0.001023,True
sin_restriccion,P,2,Local Firm,Local Firm,0.0,0.0,0.0,True
sin_restriccion,P,inf,National Bank,National Bank,0.0,0.0,0.0,True
sin_restriccion,P,inf,National Bank,Local Bank,-0.025634,-0.03,0.004366,True
sin_restriccion,P,inf,National Bank,Local Firm,0.347007,0.35,0.002993,True
sin_restriccion,P,inf,Local Bank,National Bank,0.025634,0.03,0.004366,True
sin_restriccion,P,inf,Local Bank,Local Bank,0.0,0.0,0.0,True
sin_restriccion,P,inf,Local Bank,Local Firm,0.241436,0.24,0.001436,True
sin_restriccion,P,inf,Local Firm,National Bank,-0.347007,-0.35,0.002993,True
sin_restriccion,P,inf,Local Firm,Local Bank,-0.241436,-0.24,0.001436,True
sin_restriccion,P,inf,Local Firm,Local Firm,0.0,0.0,0.0,True
sin_restriccion,W,0,National Bank,National Bank,-0.3125,-0.31,0.0025,True
sin_restriccion,W,0,National Bank,Local Bank,0.2,0.2,0.0,True
sin_restriccion,W,0,National Bank,Local Firm,1.595833,1.6,0.004167,True
sin_restriccion,W,0,Local Bank,National Bank,0.253906,0.25,0.003906,True
sin_restriccion,W,0,Local Bank,Local Bank,-0.3125,-0.31,0.0025,True
sin_restriccion,W,0,Local Bank,Local Firm,1.240885,1.24,0.000885,True
sin_restriccion,W,0,Local Firm,National Bank,0.332031,0.33,0.002031,True
sin_restriccion,W,0,Local Firm,Local Bank,0.4375,0.44,0.0025,True
sin_restriccion,W,0,Local Firm,Local Firm,-1.941406,-1.94,0.001406,True
sin_restriccion,W,1,National Bank,National Bank,-0.557846,-0.56,0.002154,True
sin_restriccion,W,1,National Bank,Local Bank,0.040725,0.04,0.000725,True
sin_restriccion,W,1,National Bank,Local Firm,1.28104,1.28,0.00104,True
sin_restriccion,W,1,Local Bank,National Bank,0.077727,0.08,0.002273,True
sin_restriccion,W,1,Local Bank,Local Bank,-0.428005,-0.43,0.001995,True
sin_restriccion,W,1,Local Bank,Local Firm,1.03296,1.03,0.00296,True
sin_restriccion,W,1,Local Firm,National Bank,0.717885,0.72,0.002115,True
sin_restriccion,W,1,Local Firm,Local Bank,0.696373,0.7,0.003627,True
sin_restriccion,W,1,Local Firm,Local Firm,-1.580556,-1.58,0.000556,True
sin_restriccion,W,2,National Bank,National Bank,-0.668377,-0.67,0.001623,True
sin_restriccion,W,2,National Bank,Local Bank,-0.021723,-0.02,0.001723,True
sin_restriccion,W,2,National Bank,Local Firm,1.142323,1.14,0.002323,True
sin_restriccion,W,2,Local Bank,National Bank,-0.003415,-0.0,0.003415,True
sin_restriccion,W,2,Local Bank,Local Bank,-0.475059,-0.48,0.004941,True
sin_restriccion,W,2,Local Bank,Local Firm,0.943713,0.94,0.003713,True
sin_restriccion,W,2,Local Firm,National Bank,0.892308,0.89,0.002308,True
sin_restriccion,W,2,Local Firm,Local Bank,0.800816,0.8,0.000816,True
sin_restriccion,W,2,Local Firm,Local Firm,-1.42297,-1.42,0.00297,True
sin_restriccion,W,inf,National Bank,National Bank,-0.75694,-0.76,0.00306,True
sin_restriccion,W,inf,National Bank,Local Bank,-0.067616,-0.07,0.002384,True
sin_restriccion,W,inf,National Bank,Local Firm,1.032559,1.03,0.002559,True
sin_restriccion,W,inf,Local Bank,National Bank,-0.067667,-0.07,0.002333,True
sin_restriccion,W,inf,Local Bank,Local Bank,-0.509303,-0.51,0.000697,True
sin_restriccion,W,inf,Local Bank,Local Firm,0.87624,0.88,0.00376,True
sin_restriccion,W,inf,Local Firm,National Bank,1.031809,1.03,0.001809,True
sin_restriccion,W,inf,Local Firm,Local Bank,0.877012,0.88,0.002988,True
sin_restriccion,W,inf,Local Firm,Local Firm,-1.300163,-1.3,0.000163,True
