escenario,eta,divergio,iter_congelada,desacuerdo_pct,desvio_P_vs_publicado,P_max_abs
con_restriccion,0.0,False,1.0,100.00000000000011,0.2616626147790462,0.0
con_restriccion,0.05,False,294.0,0.09701265580390277,0.00010073963738904679,0.26156187514165713
con_restriccion,0.1,False,145.0,0.09993383019274728,0.00010488398540131616,0.26155773079364486
con_restriccion,0.25,False,57.0,0.0967002857296274,8.289176575770885e-05,0.26157972301328847
con_restriccion,0.5,False,29.0,0.07662509666089068,0.0,0.2616626147790462
con_restriccion,0.75,False,20.0,0.049864817953361264,0.000133721227881467,0.26179633600692764
con_restriccion,1.0,False,15.0,0.03328955878387476,0.00021992401132991946,0.2618825387903761
con_restriccion,1.25,False,69.0,0.044098833025546985,0.00043504332090438247,0.26209765809995056
con_restriccion,1.5,True,,543.6491673099652,1166291354182.2148,1166291354182.4766
con_restriccion,1.9,True,,543.6491673106864,1498709785615.7888,1498709785615.527
con_restriccion,2.0,True,,543.6491673100638,1541065269123.093,1541065269123.3547
con_restriccion,2.1,True,,543.6491673100197,1347129998296.1885,1347129998296.4502
sin_restriccion,0.0,False,1.0,79.19386422976501,0.3470070318095857,0.0
sin_restriccion,0.05,False,176.0,0.09735804697268828,0.0003010740955725899,0.34701017224842257
sin_restriccion,0.1,False,86.0,0.09994566400623137,0.0002688670404719373,0.3469918665802713
sin_restriccion,0.25,False,34.0,0.08605882461750257,0.0001483782393858768,0.34701784834168226
sin_restriccion,0.5,False,17.0,0.0880772403261566,0.0,0.3470070318095857
sin_restriccion,0.75,False,11.0,0.08423585804413306,6.14484550728045e-05,0.3469883979210453
sin_restriccion,1.0,False,10.0,0.02665598809934344,0.0005099358613405436,0.34732864374399514
sin_restriccion,1.25,False,49.0,0.0674332134587848,0.0006540729096877751,0.3472317236651081
sin_restriccion,1.5,True,,1370.695309097756,1198256480857.9778,1198256480858.0034
sin_restriccion,1.9,True,,1370.6953110612812,1223036716206.386,1223036716206.3604
sin_restriccion,2.0,True,,1370.6953670212115,1439934999924.899,1439934999924.9246
sin_restriccion,2.1,True,,1370.6960950921762,1399027705618.6194,1399027705618.645
