escenario,tol_pct,iter_congelada,desacuerdo_pct,error_vs_punto_fijo,desvio_vs_publicado
con_restriccion,0.1,29,0.07662509666089068,0.00028813809362321363,0.0
con_restriccion,0.03,34,0.021657051827498934,8.141492185734234e-05,0.0002067231717658713
con_restriccion,0.01,38,0.00787976698735711,2.9620099003202505e-05,0.0002585179946200111
con_restriccion,0.003,43,0.00222653563254971,8.369296056548459e-06,0.00027976879756666517
con_restriccion,0.001,47,0.0008100570670682859,3.0448732318555383e-06,0.0002850932203913581
con_restriccion,0.0001,56,8.327285418123388e-05,3.1298361694021004e-07,0.0002878251100062734
con_restriccion,1e-05,65,8.560316079328974e-06,3.2149845924367426e-08,0.00028810594377728926
con_restriccion,1e-06,73,9.978917637190133e-07,3.5665089770375857e-09,0.0002881345271142366
con_restriccion,1e-08,93,7.222171505773783e-09,0.0,0.00028813809362321363
sin_restriccion,0.1,17,0.0880772403261566,0.0005445598220922276,0.0
sin_restriccion,0.03,24,0.02605444703637549,0.0001622737338718705,0.00038228608822035715
sin_restriccion,0.01,32,0.008980034175970429,5.2211310141853096e-05,0.0004923485119503745
sin_restriccion,0.003,36,0.0026547406167258757,1.6482868664347006e-05,0.0005280769534278806
sin_restriccion,0.001,44,0.000946247301080079,5.446781005474799e-06,0.0005391130410867528
sin_restriccion,0.0001,54,8.597407591659326e-05,5.337591979792666e-07,0.0005440260628942484
sin_restriccion,1e-05,66,8.734815731214706e-06,5.418707219040364e-08,0.0005445056350200372
sin_restriccion,1e-06,78,8.874692867982801e-07,5.4635353741172565e-09,0.0005445543585568535
sin_restriccion,1e-08,103,8.91397732246787e-09,0.0,0.0005445598220922276
